Server Name    HDD Name      HDD Capacity    Previous Used Space    Used Space  Monitoring Date
-------------  ----------  --------------  ---------------------  ------------  -----------------
Server 1       HDD 2                55000                                 2462  2023-07-02
Server 1       HDD 2                55000                   2462          2184  2023-07-03
Server 1       HDD 2                55000                   2184          3572  2023-07-04
Server 1       HDD 2                55000                   3572          1310  2023-07-05
Server 1       HDD 2                55000                   1310          3442  2023-07-06
Server 1       HDD 2                55000                   3442          4608  2023-07-07
Server 1       HDD 2                55000                   4608          3232  2023-07-08
Server 1       HDD 2                55000                   3232          1156  2023-07-09
Server 1       HDD 2                55000                   1156             9  2023-07-10
Server 1       HDD 2                55000                      9          6157  2023-07-11
Server 2       HDD 5                60000                                 7941  2023-09-30
Server 2       HDD 5                60000                   7941          7766  2023-10-01
Server 2       HDD 5                60000                   7766          1209  2023-10-02
Server 2       HDD 5                60000                   1209           148  2023-10-03
Server 2       HDD 5                60000                    148           960  2023-10-04
Server 2       HDD 5                60000                    960          2658  2023-10-05
Server 2       HDD 5                60000                   2658          1092  2023-10-06
Server 2       HDD 5                60000                   1092          5441  2023-10-07
Server 2       HDD 5                60000                   5441          3463  2023-10-08
Server 2       HDD 5                60000                   3463          6767  2023-10-09
Server 3       HDD 6               120000                                 6726  2023-10-30
Server 3       HDD 6               120000                   6726          3703  2023-10-31
Server 3       HDD 6               120000                   3703           251  2023-11-01
Server 3       HDD 6               120000                    251          4358  2023-11-02
Server 3       HDD 6               120000                   4358          1680  2023-11-03
Server 3       HDD 6               120000                   1680           181  2023-11-04
Server 3       HDD 6               120000                    181          6259  2023-11-05
Server 3       HDD 6               120000                   6259          1548  2023-11-06
Server 3       HDD 6               120000                   1548          3837  2023-11-07
Server 3       HDD 6               120000                   3837          2956  2023-11-08
Server 4       HDD 7                70000                                 2358  2023-11-29
Server 4       HDD 7                70000                   2358          1876  2023-11-30
Server 4       HDD 7                70000                   1876          2585  2023-12-01
Server 4       HDD 7                70000                   2585          2679  2023-12-02
Server 4       HDD 7                70000                   2679          5221  2023-12-03
Server 4       HDD 7                70000                   5221          4544  2023-12-04
Server 4       HDD 7                70000                   4544          6418  2023-12-05
Server 4       HDD 7                70000                   6418          3647  2023-12-06
Server 4       HDD 7                70000                   3647          4542  2023-12-07
Server 4       HDD 7                70000                   4542           364  2023-12-08
Server 5       HDD 8                60000                                 3512  2023-12-29
Server 5       HDD 8                60000                   3512          4804  2023-12-30
Server 5       HDD 8                60000                   4804          5912  2023-12-31
Server 5       HDD 8                60000                   5912          1721  2024-01-01
Server 5       HDD 8                60000                   1721          2680  2024-01-02
Server 5       HDD 8                60000                   2680          5711  2024-01-03
Server 5       HDD 8                60000                   5711           605  2024-01-04
Server 5       HDD 8                60000                    605          2768  2024-01-05
Server 5       HDD 8                60000                   2768          6923  2024-01-06
Server 5       HDD 8                60000                   6923          1668  2024-01-07
