  hdd_id    used_space    formatted_space  monitoring_date
--------  ------------  -----------------  -----------------
       1          6134               3486  2023-05-13
       1          2190               4437  2023-05-14
       1          5047               6832  2023-05-15
       1          1740               9426  2023-05-16
       1          4096               1845  2023-05-17
       1          6968               7032  2023-05-18
       1          1081               2102  2023-05-19
       1          2553               8728  2023-05-20
       1          2453               2642  2023-05-21
       1          6245               5680  2023-05-22
       1          6832               8960  2023-05-23
       1          7883               9636  2023-05-24
       1          5710               8324  2023-05-25
       1          4307               2486  2023-05-26
       1          6184               4995  2023-05-27
       1          3299               4821  2023-05-28
       1          4717               4493  2023-05-29
       1          5451               2094  2023-05-30
       1          7950               7389  2023-05-31
       1            54               7151  2023-06-01
       1          3683               4037  2023-06-02
       1          4366               4546  2023-06-03
       1          4742               7234  2023-06-04
       1          6382                613  2023-06-05
       1          5521               9446  2023-06-06
       1          4644               4590  2023-06-07
       1           901               6262  2023-06-08
       1          3148               2635  2023-06-09
       1          6415               6566  2023-06-10
       1          3278               3531  2023-06-11
       2          1299               3718  2023-06-12
       2          7687               9215  2023-06-13
       2          1099               5946  2023-06-14
       2          3220               8838  2023-06-15
       2          4094               3817  2023-06-16
       2          4904               7698  2023-06-17
       2          5068               9085  2023-06-18
       2          7188               5152  2023-06-19
       2          4087               8179  2023-06-20
       2          1353               4071  2023-06-21
       2          6353               3898  2023-06-22
       2          3218                762  2023-06-23
       2           914                538  2023-06-24
       2          4615               4773  2023-06-25
       2          2170                933  2023-06-26
       2          1564               7844  2023-06-27
       2           667               4080  2023-06-28
       2          2772               6043  2023-06-29
       2          1851               3426  2023-06-30
       2          1969               6846  2023-07-01
       2          2462               4646  2023-07-02
       2          2184               6442  2023-07-03
       2          3572               2043  2023-07-04
       2          1310               3489  2023-07-05
       2          3442               4663  2023-07-06
       2          4608                776  2023-07-07
       2          3232               6106  2023-07-08
       2          1156                728  2023-07-09
       2             9               2785  2023-07-10
       2          6157               3911  2023-07-11
       3          3046               8158  2023-07-12
       3           523               9348  2023-07-13
       3          5611               2777  2023-07-14
       3          1013               6745  2023-07-15
       3          1651               8026  2023-07-16
       3           327               9204  2023-07-17
       3          7510               3803  2023-07-18
       3           806               9699  2023-07-19
       3          5300               5845  2023-07-20
       3          1173               2862  2023-07-21
       3          5938               4710  2023-07-22
       3          7768               5253  2023-07-23
       3          2944               2781  2023-07-24
       3          5723               8578  2023-07-25
       3          2755               2346  2023-07-26
       3          6942               6543  2023-07-27
       3          1788               9327  2023-07-28
       3          3750               5580  2023-07-29
       3          1946               3031  2023-07-30
       3          7772               5124  2023-07-31
       3          1366               5316  2023-08-01
       3           418               4079  2023-08-02
       3            91               8512  2023-08-03
       3          3173               6831  2023-08-04
       3          6979               3646  2023-08-05
       3          6589               1124  2023-08-06
       3          2089               8285  2023-08-07
       3           143               3266  2023-08-08
       3          4573               2532  2023-08-09
       3           381                 55  2023-08-10
       4          3163               5453  2023-08-11
       4          7991               2610  2023-08-12
       4          7436               1933  2023-08-13
       4          7224               7171  2023-08-14
       4          1684               3870  2023-08-15
       4          6499               6115  2023-08-16
       4          3067               7933  2023-08-17
       4          5150               5529  2023-08-18
       4          3235               7718  2023-08-19
       4          5694               9487  2023-08-20
       4          7520               6277  2023-08-21
       4          5041               3766  2023-08-22
       4          2888               8529  2023-08-23
       4          6828               3510  2023-08-24
       4          2331               7845  2023-08-25
       4          5596               6549  2023-08-26
       4          5792               3777  2023-08-27
       4          1475               2856  2023-08-28
       4          4071               2011  2023-08-29
       4          2758               7235  2023-08-30
       4          5369               4556  2023-08-31
       4          6101               3065  2023-09-01
       4          7574               9982  2023-09-02
       4          5795               2881  2023-09-03
       4            54               5096  2023-09-04
       4          7428               1383  2023-09-05
       4          6852               9480  2023-09-06
       4          6134               4274  2023-09-07
       4          1323                240  2023-09-08
       4          3230               6122  2023-09-09
       5          3105               5858  2023-09-10
       5          6006               4059  2023-09-11
       5           462                688  2023-09-12
       5          2176               5693  2023-09-13
       5          7335               5038  2023-09-14
       5           409               3900  2023-09-15
       5          2773               8278  2023-09-16
       5          1271               9739  2023-09-17
       5          3848               9210  2023-09-18
       5          2695               2021  2023-09-19
       5          6913               6943  2023-09-20
       5          7922               5373  2023-09-21
       5          7830               6708  2023-09-22
       5          6779               3231  2023-09-23
       5          7381                896  2023-09-24
       5           703               2605  2023-09-25
       5          6708               6155  2023-09-26
       5          1256               4629  2023-09-27
       5          1596               4037  2023-09-28
       5          7791               4366  2023-09-29
       5          7941               6453  2023-09-30
       5          7766               9222  2023-10-01
       5          1209               7937  2023-10-02
       5           148                823  2023-10-03
       5           960               7805  2023-10-04
       5          2658               2769  2023-10-05
       5          1092               8679  2023-10-06
       5          5441               5252  2023-10-07
       5          3463               8928  2023-10-08
       5          6767               7916  2023-10-09
       6          4801               3667  2023-10-10
       6          5294               7154  2023-10-11
       6          7970               3845  2023-10-12
       6           751               9847  2023-10-13
       6          7178               1488  2023-10-14
       6          5514               8164  2023-10-15
       6          4877               4003  2023-10-16
       6          6478               1512  2023-10-17
       6          3156                660  2023-10-18
       6          2060                494  2023-10-19
       6          4964               7276  2023-10-20
       6          3487               3333  2023-10-21
       6          3292               6061  2023-10-22
       6          5251               9338  2023-10-23
       6          2023               8714  2023-10-24
       6          4768                863  2023-10-25
       6           296               4639  2023-10-26
       6          6523               1414  2023-10-27
       6          4634               3836  2023-10-28
       6          6963               2751  2023-10-29
       6          6726               3450  2023-10-30
       6          3703               2966  2023-10-31
       6           251                906  2023-11-01
       6          4358                638  2023-11-02
       6          1680               1011  2023-11-03
       6           181               9500  2023-11-04
       6          6259               4344  2023-11-05
       6          1548               6956  2023-11-06
       6          3837                265  2023-11-07
       6          2956               9580  2023-11-08
       7          3532               5308  2023-11-09
       7          4732               6637  2023-11-10
       7          2573               7541  2023-11-11
       7          3318               2294  2023-11-12
       7          1609               1288  2023-11-13
       7          4676               5504  2023-11-14
       7          3798               2186  2023-11-15
       7          2413                478  2023-11-16
       7          5636               5011  2023-11-17
       7          4643               2457  2023-11-18
       7          5434               9010  2023-11-19
       7          6675               3256  2023-11-20
       7          3668               9246  2023-11-21
       7          6046               2968  2023-11-22
       7          7650               4817  2023-11-23
       7            86               1001  2023-11-24
       7          7957               6903  2023-11-25
       7           727               5825  2023-11-26
       7          2632               3538  2023-11-27
       7          6613              10000  2023-11-28
       7          2358               5143  2023-11-29
       7          1876               4433  2023-11-30
       7          2585               6186  2023-12-01
       7          2679               5734  2023-12-02
       7          5221               5354  2023-12-03
       7          4544               1171  2023-12-04
       7          6418               2679  2023-12-05
       7          3647               8365  2023-12-06
       7          4542               4543  2023-12-07
       7           364               8504  2023-12-08
       8          3159               9862  2023-12-09
       8          4298                 81  2023-12-10
       8          5979               7997  2023-12-11
       8          1043               9888  2023-12-12
       8          7318               8745  2023-12-13
       8          2683               3588  2023-12-14
       8          7918               7543  2023-12-15
       8          5613               8060  2023-12-16
       8          7852                931  2023-12-17
       8          6846               1166  2023-12-18
       8          7072               3451  2023-12-19
       8          5334               4957  2023-12-20
       8          6279               4972  2023-12-21
       8          2830               9731  2023-12-22
       8           205               6411  2023-12-23
       8          5550               4498  2023-12-24
       8          7683               4352  2023-12-25
